name,genres,popularity
Crucified Barbara,slayer;sleaze rock;swedish hard rock;swedish metal,28
Cry Of Love,modern blues rock;modern hard rock;southern rock,35
Cutting Crew,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock;synthpop,64
DOWN,alternative metal;groove metal;hard rock;louisiana metal;metal;nu metal;rock;sludge metal;southern metal;stoner metal;supergroup,52
Damageplan,alternative metal;groove metal;nu metal;rap rock;southern metal,43
Damn Yankees,album rock;classic rock;glam metal;hard rock;rock,52
Danger Danger,album rock;glam metal;hard rock;sleaze rock,45
Dangerous Toys,glam metal;hard rock;sleaze rock,34
Daniel Ash,gothic rock;new wave,29
Danko Jones,punk 'n' roll;swedish alternative rock,55
Danzig,alternative metal;hard rock;metal;rock,62
Dare,hard rock;melodic hard rock,42
Dark Angel,metal;old school thrash;technical thrash;thrash metal,35
Dark new Day,alternative metal;hard alternative;nu metal;post-grunge,37
Dave Edmunds,blues rock;british blues;classic uk pop;country rock;power pop;pub rock;rock-and-roll;rockabilly;roots rock,50
David Coverdale,album rock;hard rock,32
David Essex,classic uk pop;glam rock,46
David Lee Roth,album rock;classic rock;glam metal;hard rock;metal;neo classical metal;rock,54
Days Of The New,alternative metal;alternative rock;grunge;nu metal;post-grunge;rock,56
Death Angel,death metal;hard rock;metal;old school thrash;thrash metal,47
Deep Purple,album rock;blues rock;classic rock;hard rock;metal;psychedelic rock;rock,73
Deepfield,alternative metal;gymcore;hard alternative;nu metal;post-grunge,37
Def Leppard,album rock;hard rock;nwobhm;rock,73
Default,alternative metal;canadian rock;nu metal;pop rock;post-grunge,53
Demons & Wizards,german metal;german power metal;melodic metal;metal;neo classical metal;power metal;progressive metal;symphonic metal,46
Derek & The Dominos,album rock;art rock;blues;blues rock;british blues;classic rock;country rock;electric blues;folk rock;hard rock;mellow gold;psychedelic rock;rock;roots rock;soft rock,64
Destruction,death metal;german metal;german thrash metal;metal;mexican metal;old school thrash;thrash metal,42
Diamond Head,album rock;hard rock;metal;nwobhm;rock;speed metal;thrash metal,49
Dimebag Darrell,southern metal,30
Dio,album rock;classic rock;glam metal;hard rock;metal;power metal;rock,66
Dirty Looks,glam metal;hard rock;sleaze rock,28
Dokken,album rock;classic rock;glam metal;hard rock;metal;rock,57
Don Airey,rock keyboard,25
Don Dokken,glam metal,26
Don Henley,album rock;art rock;classic rock;country rock;folk;folk rock;heartland rock;mellow gold;pop rock;rock;roots rock;singer-songwriter;soft rock;yacht rock,69
Donnie Iris,album rock,44
Doro,german heavy metal;german metal;hard rock;metal;power metal,48
Doubledrive,grunge pop,25
Downface,grunge,28
Dr. Feelgood,blues rock;british blues;protopunk;pub rock;rockabilly,46
Dream Evil,melodic metal;metal;neo classical metal;power metal;swedish heavy metal;swedish power metal,51
Duff McKagan,glam metal;sleaze rock,35
Duff McKagan's Loaded,supergroup,21
Dynazty,melodic metal;nightrun;power metal;sleaze rock;swedish alternative rock;swedish hard rock,54
EARTHSHAKER,j-metal;japanese heavy metal,30
Echo & the Bunnymen,alternative rock;art rock;dance rock;dream pop;new romantic;new wave;new wave pop;permanent wave;post-punk;punk;rock;uk post-punk,62
Eddie Money,album rock;classic rock;country rock;folk rock;hard rock;mellow gold;pop rock;rock;soft rock,63
Eddie Vedder,acoustic rock;permanent wave;rock,67
Edguy,german metal;german power metal;hard rock;melodic metal;metal;neo classical metal;power metal;progressive metal;symphonic metal,53
Egypt Central,alternative metal;christian rock;gymcore;nu metal;post-grunge;post-screamo;rap rock,58
Electric Mary,deep melodic hard rock;modern hard rock;nwocr,31
Elf,album rock;hard rock;metal,33
Enuff Z'Nuff,glam metal;hard rock;sleaze rock;underground power pop,35
Eric Carr,glam metal,22
Eric Johnson,blues rock;instrumental bluegrass;instrumental rock;neo classical metal;progressive jazz fusion;shred,53
Europe,album rock;glam metal;hard rock;rock;swedish hard rock;swedish melodic rock,70
Evergrey,gothic metal;melodic metal;metal;neo classical metal;power metal;progressive metal;swedish progressive metal,54
Evile,metal;new wave of thrash metal;thrash metal,42
Exciter,canadian metal;metal;nwothm;speed metal;thrash metal,31
Exodus,death metal;groove metal;hard rock;metal;old school thrash;speed metal;thrash metal,55
Extreme,album rock;funk metal;glam metal;hard rock;rock,68
Faith And The Muse,corrosion;dark wave;deathrock;ethereal wave;gothic rock;medieval folk;neoclassical darkwave;steampunk,30
Faith No More,alternative metal;alternative rock;funk metal;funk rock;hard rock;nu metal;rap metal;rock,67
Faster Pussycat,glam metal;glam punk;hard rock;sleaze rock,46
Fates Warning,hard rock;metal;modern hard rock;neo classical metal;neo-progressive;power metal;progressive metal;us power metal,41
Fields Of The Nephilim,corrosion;dark wave;ethereal wave;gothabilly;gothic rock,43
Filter,alternative metal;alternative rock;grunge;industrial metal;industrial rock;nu metal;post-grunge;rap rock;rock,59
Firefall,album rock;classic rock;country rock;folk rock;mellow gold;soft rock,49
Firehouse,album rock;glam metal;hard rock;rock,60
Firewind,greek metal;melodic metal;metal;neo classical metal;neo-trad metal;power metal;progressive metal;symphonic metal;symphonic power metal,48
Fishbone,funk metal;funk rock;ska;ska punk,44
Flesh For Lulu,gothic rock;new wave,33
Flotsam & Jetsam,metal;old school thrash;power thrash;speed metal;thrash metal,39
Foghat,album rock;blues rock;british blues;classic rock;country rock;hard rock;mellow gold;rock;soft rock,58
Foo Fighters,alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock,83
Forbidden,metal;old school thrash;technical thrash;thrash metal,35
Foreigner,album rock;classic rock;hard rock;mellow gold;rock;soft rock,74
Frank Marino & Mahogany Rush,blues rock;canadian metal,32
Free,album rock;art rock;blues rock;british blues;classic rock;classic uk pop;country rock;electric blues;folk rock;hard rock;psychedelic rock;rock;roots rock;symphonic rock,61
Freedom Call,german metal;german power metal;melodic metal;neo classical metal;power metal;symphonic metal;symphonic power metal,50
Fuel,alternative metal;alternative rock;nu metal;pop rock;post-grunge;rap rock;rock,61
Gamma Ray,german metal;german power metal;hard rock;melodic metal;metal;neo classical metal;power metal;speed metal,48
Gary Moore,album rock;blues rock;british blues;classic rock;electric blues;hard rock;rock,64
Gary Wright,album rock;classic rock;country rock;mellow gold;soft rock;yacht rock,49
Gemini Five,sleaze rock;swedish hard rock,28
Gene Loves Jezebel,dance rock;gothic rock;new romantic;new wave;new wave pop;synthpop;welsh rock,43
Gene Simmons,glam metal;hard rock,34
Geordie,glam rock,30
George Lynch,glam metal;hard rock;neo classical metal;shred,35
George Thorogood & The Destroyers,album rock;blues rock;classic rock;country rock;electric blues;hard rock;heartland rock;mellow gold;rock,63
Gilby Clarke,glam metal,33
Gillan,album rock;hard rock,28
Girlschool,hard rock;metal;nwobhm;rock,43
Giuffria,glam metal;hard rock,30
Glass Tiger,album rock;classic canadian rock;mellow gold;new wave pop;soft rock,48
Glenn Frey,album rock;classic rock;country rock;folk rock;heartland rock;mellow gold;new wave pop;soft rock,59
Glenn Hughes,album rock;hard rock;modern hard rock,39
Glenn Tipton,birmingham metal;metal,17
Gluecifer,norwegian hardcore;norwegian punk rock;norwegian rock;punk 'n' roll,38
Golden Earring,album rock;classic rock;dutch pop;dutch prog;dutch rock;nederpop,62
Gotthard,glam metal;hard rock;swiss pop;swiss rock,51
Grand Funk Railroad,album rock;art rock;blues rock;classic rock;country rock;folk rock;hard rock;mellow gold;psychedelic rock;rock;soft rock;symphonic rock,60
Grave Digger,german metal;german power metal;hard rock;melodic metal;metal;neo classical metal;neo-trad metal;power metal;speed metal,46
Great White,album rock;classic rock;glam metal;hard rock;metal;rock,57
Green River,grunge,36
Grim Reaper,hard rock;metal;nwobhm;nwothm;speed metal,36
Gruntruck,funk metal;grunge,34
Gun,hard rock;modern hard rock,40
Guns N' Roses,glam metal;hard rock;rock,83
Gwar,alternative metal;comic;comic metal;metal;nu metal;old school thrash;thrash metal;virginia metal;virginia punk,49
HELLYEAH,alternative metal;groove metal;industrial metal;metal;nu metal;post-grunge;rap rock;southern metal,59
Halestorm,alternative metal;nu metal;post-grunge,68
Halford,birmingham metal;hard rock;metal;power metal;speed metal,43
HammerFall,gothenburg metal;hard rock;melodic metal;metal;neo classical metal;power metal;swedish power metal;symphonic metal,60
Hanoi Rocks,finnish hard rock;glam metal;glam punk;glam rock;hard rock;sleaze rock,44
Hardcore Superstar,glam metal;hard rock;new wave of glam metal;sleaze rock;swedish alternative rock;swedish hard rock,50
Hardline,glam metal;hard rock;melodic hard rock;modern hard rock;sleaze rock,44
Harem Scarem,canadian metal;glam metal;hard rock;melodic hard rock,45
Harlequin,album rock;classic canadian rock,39
Head East,album rock;classic rock;country rock;hard rock;mellow gold;soft rock;southern rock,46
HeadCat,psychobilly;rockabilly,36
Heart,album rock;classic rock;hard rock;heartland rock;mellow gold;new wave pop;pop rock;rock;soft rock,71
Heathen,death metal;metal;old school thrash;speed metal;technical thrash;thrash metal,38
Heaven & Hell,album rock;hard rock;metal;rock,39
Heaven's Basement,deep melodic hard rock;sleaze rock,39
Heavens Gate,german metal;neo classical metal;neo-trad metal;power metal,26
Helix,album rock;canadian metal;classic canadian rock;glam metal;hard rock;sleaze rock,40
Hell N' Diesel,hard glam;sleaze rock;swedish hard rock,12
Helloween,german metal;german power metal;hard rock;metal;neo classical metal;old school thrash;power metal;rock;speed metal,63
Helmet,alternative metal;alternative rock;grunge;industrial metal;industrial rock;nu metal;post-hardcore;rap rock;rock,55
Helstar,metal;neo-trad metal;nwothm;old school thrash;speed metal;thrash metal;us power metal,30
Henrik Freischlader,blues rock;electric blues;german blues;modern blues;modern blues rock;power blues-rock,43
Hinder,alternative metal;nu metal;pop rock;post-grunge,66
Hirax,crossover thrash;metal;new wave of thrash metal;speed metal;thrash metal,28
Hogjaw,modern hard rock;modern southern rock;southern rock,30
Hollywood Rose,glam metal;hard rock;sleaze rock,27
Honeymoon Suite,album rock;canadian metal;classic canadian rock;glam metal;hard rock;mellow gold,45
Hoobastank,alternative metal;funk metal;nu metal;pop rock;post-grunge;rap rock,70
House Of Lords,glam metal;hard rock;melodic hard rock;modern hard rock;sleaze rock,33
Huey Lewis & The News,album rock;classic rock;dance rock;folk rock;mellow gold;new wave pop;pop rock;rock;soft rock,68
Humble Pie,album rock;art rock;blues rock;british blues;classic rock;country rock;electric blues;folk rock;hard rock;psychedelic rock;rock;roots rock;southern rock;symphonic rock,47
Hurricane,glam metal;hard rock;sleaze rock,31
Ian Gillan,album rock;hard rock,41
Ian Gillan Band,british jazz,16
Ian Hunter,album rock;classic uk pop;glam rock;pub rock;roots rock,39
Iced Earth,hard rock;metal;neo classical metal;old school thrash;power metal;power thrash;speed metal;us power metal,54
Impellitteri,christian metal;j-metal;neo classical metal,28
Imperial State Electric,punk 'n' roll;swedish alternative rock;swedish garage rock;swedish hard rock,34
Incubus,alternative metal;alternative rock;funk metal;funk rock;modern rock;nu metal;pop rock;post-grunge;rock,73
Infectious Grooves,funk metal;funk rock;rap rock,41
Inglorious,modern hard rock;nwocr,43
Iron Butterfly,acid rock;art rock;blues rock;classic rock;hard rock;psychedelic rock;symphonic rock,49
Iron Maiden,album rock;hard rock;metal;nwobhm;rock,77
Iron Savior,german metal;german power metal;melodic metal;metal;neo classical metal;neo-trad metal;power metal;symphonic metal;symphonic power metal,46
Izzy Stradlin And The Ju Ju Hounds,hard rock,29
Jackyl,album rock;glam metal;hard rock;rock,49
Jaded Heart,german hard rock;glam metal;hard rock;melodic hard rock;modern hard rock;nwocr,33
Jaded Sun,deep melodic hard rock,12
Jag Panzer,metal;neo-trad metal;nwothm;speed metal;us power metal,26
James Gang,album rock;art rock;blues rock;british blues;classic rock;country rock;folk rock;hard rock;mellow gold;psychedelic rock;rock;roots rock;soft rock;southern rock,54
Jane's Addiction,alternative metal;alternative rock;art rock;blues rock;funk metal;funk rock;grunge;hard rock;nu metal;permanent wave;rock,62
Jason Becker,instrumental rock;neo classical metal;shred,43
Jeff Beck,album rock;art rock;blues;blues rock;british blues;classic rock;country rock;electric blues;hard rock;instrumental rock;jazz fusion;modern blues;psychedelic rock;rock;symphonic rock,59
